Longitud de onda [nm];Intensidad
2.138404694e+02;7.204019930e-03
2.140450592e+02;3.302683122e-03
2.142496643e+02;4.863217939e-03
2.144542847e+02;4.325102549e-03
2.146589203e+02;4.378913902e-03
2.148635712e+02;4.244385287e-03
2.150682373e+02;4.217479378e-03
2.152729187e+02;4.755594768e-03
2.154776154e+02;3.840798512e-03
2.156823273e+02;5.024652462e-03
2.158870697e+02;8.522402495e-03
2.160918121e+02;5.643485114e-03
2.162965698e+02;5.266804248e-03
2.165013580e+02;3.544835141e-03
2.167061462e+02;6.827339064e-03
2.169109497e+02;5.293710157e-03
2.171157837e+02;5.697296467e-03
2.173206177e+02;5.266804248e-03
2.175254822e+02;4.459631164e-03
2.177303467e+02;5.831825547e-03
2.179352417e+02;4.082950298e-03
2.181401520e+02;1.822865917e-03
2.183450623e+02;5.374427419e-03
2.185500031e+02;3.571740817e-03
2.187549591e+02;6.316129118e-03
2.189599304e+02;4.244385287e-03
2.191649017e+02;6.827339064e-03
2.193699036e+02;5.966354162e-03
2.195749207e+02;6.423752289e-03
2.197799530e+02;4.029138945e-03
2.199850006e+02;6.612092722e-03
2.201900635e+02;3.141248599e-03
2.203951416e+02;3.813892836e-03
2.206002350e+02;4.513442982e-03
2.208053589e+02;4.809406120e-03
2.210104828e+02;3.975327592e-03
2.212156219e+02;5.804919638e-03
2.214207764e+02;6.423752289e-03
2.216259613e+02;5.428238772e-03
2.218311462e+02;4.163668025e-03
2.220363464e+02;5.455144681e-03
2.222415771e+02;6.369940937e-03
2.224468079e+02;5.212992895e-03
2.226520691e+02;4.352007993e-03
2.228573303e+02;5.105369724e-03
2.230626221e+02;5.105369724e-03
2.232679138e+02;3.733175574e-03
2.234732361e+02;4.701782949e-03
2.236785583e+02;5.212992895e-03
2.238839111e+02;4.621065687e-03
2.240892792e+02;4.567254335e-03
2.242946625e+02;5.804919638e-03
2.245000458e+02;5.455144681e-03
2.247054596e+02;5.589673761e-03
2.249108887e+02;7.311642636e-03
2.251163330e+02;5.589673761e-03
2.253217926e+02;5.401333328e-03
2.255272675e+02;4.674877506e-03
2.257327576e+02;5.670391023e-03
2.259382629e+02;3.679363988e-03
2.261437836e+02;5.212992895e-03
2.263493195e+02;2.872190904e-03
2.265548706e+02;4.002233036e-03
2.267604370e+02;2.522415947e-03
2.269660187e+02;6.665904541e-03
2.271716309e+02;2.414792776e-03
2.273772430e+02;2.360981191e-03
2.275828705e+02;3.410306294e-03
2.277885132e+02;6.316129118e-03
2.279941864e+02;5.186086986e-03
2.281998596e+02;5.912542809e-03
2.284055634e+02;2.226452343e-03
2.286112671e+02;7.715229411e-03
2.288169861e+02;3.813892836e-03
2.290227356e+02;5.535861943e-03
2.292284851e+02;2.576227300e-03
2.294342651e+02;5.616579205e-03
2.296400604e+02;4.567254335e-03
2.298458557e+02;3.356494708e-03
2.300516815e+02;5.293710157e-03
2.302575226e+02;7.688323501e-03
2.304633636e+02;3.948421683e-03
2.306692352e+02;4.513442982e-03
2.308751221e+02;5.724202376e-03
2.310810089e+02;8.172627538e-03
2.312869263e+02;5.993260071e-03
2.314928589e+02;5.912542809e-03
2.316988068e+02;4.271290731e-03
2.319047699e+02;7.096396759e-03
2.321107483e+02;4.567254335e-03
2.323167419e+02;6.719715893e-03
2.325227509e+02;2.199546667e-03
2.327287750e+02;5.293710157e-03
2.329348145e+02;5.266804248e-03
2.331408691e+02;5.643485114e-03
2.333469391e+02;4.970840644e-03
2.335530243e+02;4.997746553e-03
2.337591248e+02;4.486537073e-03
2.339652405e+02;6.423752289e-03
2.341713867e+02;1.661431277e-03
2.343775330e+02;5.482050590e-03
2.345836945e+02;6.854244508e-03
2.347898712e+02;6.235411856e-03
2.349960785e+02;4.621065687e-03
2.352022858e+02;5.320616066e-03
2.354085083e+02;3.410306294e-03
2.356147614e+02;4.082950298e-03
2.358210144e+02;2.065017819e-03
2.360272827e+02;5.670391023e-03
2.362335815e+02;4.513442982e-03
2.364398804e+02;6.316129118e-03
2.366462097e+02;3.087437013e-03
2.368525391e+02;5.132275634e-03
2.370588989e+02;4.836312030e-03
2.372652588e+02;7.042584941e-03
2.374716492e+02;3.464117879e-03
2.376780548e+02;5.051558372e-03
2.378844604e+02;3.302683122e-03
2.380908966e+02;5.966354162e-03
2.382973480e+02;4.002233036e-03
2.385037994e+02;6.504469551e-03
2.387102814e+02;2.899096580e-03
2.389167786e+02;6.423752289e-03
2.391232758e+02;4.943935201e-03
2.393298035e+02;3.221965861e-03
2.395363464e+02;2.011206234e-03
2.397429047e+02;5.778013729e-03
2.399494781e+02;3.948421683e-03
2.401560669e+02;6.154694594e-03
2.403626556e+02;4.271290731e-03
2.405692749e+02;5.482050590e-03
2.407759094e+02;4.271290731e-03
2.409825592e+02;3.087437013e-03
2.411892242e+02;4.890123382e-03
2.413959045e+02;4.970840644e-03
2.416026001e+02;4.405819811e-03
2.418093109e+02;6.612092722e-03
2.420160370e+02;2.737662056e-03
2.422227783e+02;6.047071423e-03
2.424295502e+02;8.307156153e-03
2.426363220e+02;6.100883242e-03
2.428431091e+02;6.235411856e-03
2.430499115e+02;6.127789151e-03
2.432567291e+02;2.656944795e-03
2.434635620e+02;4.970840644e-03
2.436704102e+02;4.271290731e-03
2.438772888e+02;3.060531337e-03
2.440841675e+02;2.683850471e-03
2.442910614e+02;3.921515774e-03
2.444979706e+02;4.809406120e-03
2.447049103e+02;4.163668025e-03
2.449118500e+02;4.217479378e-03
2.451188049e+02;5.132275634e-03
2.453257904e+02;4.540348426e-03
2.455327759e+02;6.289223675e-03
2.457397766e+02;4.701782949e-03
2.459468079e+02;4.486537073e-03
2.461538391e+02;4.809406120e-03
